threshold,strategy,net_benefit,model
0.03,Treat all,-0.029582876695465526,O+S+D
0.035,Treat all,-0.03491750299958711,O+S+D
0.04,Treat all,-0.040307698327709966,O+S+D
0.045,Treat all,-0.045754335491729387,O+S+D
0.05,Treat all,-0.05125830567852796,O+S+D
0.055,Treat all,-0.05682051893608631,O+S+D
0.06,Treat all,-0.06244190467510803,O+S+D
0.065,Treat all,-0.06812341218673963,O+S+D
0.07,Treat all,-0.07386601117699094,O+S+D
0.075,Treat all,-0.07967069231848817,O+S+D
0.08,Treat all,-0.08553846782021908,O+S+D
0.085,Treat all,-0.09147037201595799,O+S+D
0.09,Treat all,-0.09746746197208962,O+S+D
0.095,Treat all,-0.10353081811558183,O+S+D
0.1,Treat all,-0.10966154488289064,O+S+D
0.005,Treat none,0.0,O+S+D
0.01,Treat none,0.0,O+S+D
0.015,Treat none,0.0,O+S+D
0.02,Treat none,0.0,O+S+D
0.025,Treat none,0.0,O+S+D
0.03,Treat none,0.0,O+S+D
0.035,Treat none,0.0,O+S+D
0.04,Treat none,0.0,O+S+D
0.045,Treat none,0.0,O+S+D
0.05,Treat none,0.0,O+S+D
0.055,Treat none,0.0,O+S+D
0.06,Treat none,0.0,O+S+D
0.065,Treat none,0.0,O+S+D
0.07,Treat none,0.0,O+S+D
0.075,Treat none,0.0,O+S+D
0.08,Treat none,0.0,O+S+D
0.085,Treat none,0.0,O+S+D
0.09,Treat none,0.0,O+S+D
0.095,Treat none,0.0,O+S+D
0.1,Treat none,0.0,O+S+D
